Patent ID;SiO2;Al2O3;B2O3;MgO;CaO;SrO;SnO2;Na2O;K2O;BaO;ZnO;TiO2;Sb2O3;SO3;Fe2O3;V2O5;AS2O3;Cl;F;Li2O;ZrO2;Cr2O3;P2O5;CeO2;La2O3;Y2O3;Density;CTE;Strain Point;Young's Modulus;Melting. Temp;Liquidus Temp.;Tg;Liquidus Viscosity
US20110302962A1;73.00011419;0;0;0;9.723479468;0;0;10.82088393;3.079641679;0.671359204;2.115872699;0.203099827;0;0.381837548;0.003711453;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20110302962A1;73.03103695;0;0;0;8.181162134;0;0;8.255474759;5.614325168;0.868539398;3.468617521;0.255304469;0;0.318357275;0.007182327;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20220388892A1;71.87172988;0.023110759;0;5.524886835;9.296927591;0;0;13.13554892;0;0;0;0;0;0.144955496;0.002840515;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20220388892A1;71.78067803;0.02311933;0;5.658529441;9.079688474;0;0.022179574;13.28304418;0;0;0;0;0;0.144273165;0.008487801;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20220388892A1;72.68031763;0.017573626;0;4.682788886;9.244891366;0.011528064;0.049214503;13.15402745;0.006340435;0;0;0;0;0.14920534;0.003627972;0;0;0;0;0;0.000484725;0;0;0;0;0;;;;;;;;
US20220388892A1;71.69351638;0.087008349;0;5.517405209;9.270443288;0;0;13.1016553;0;0;0;0;0;0.144051744;0.185919735;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20220388892A1;71.24727425;0.081757557;0;5.613850341;9.014663396;0;0.5436695;13.1807445;0;0;0;0;0;0.143539496;0.174500962;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20220388892A1;71.00393364;0.040773189;0;5.599349851;9.245551906;0.001719429;0.365037068;13.35750596;0.044131999;0;0;0;0;0.133525246;0.207893329;0;0;0;0;0;0.00057838;0;0;0;0;0;;;;;;;;
US20120035041A1;70.92;13.28;0;0.52;0.49;0;0.13;0.66;0.11;1.06;1.21;2.44;0;0;0.03;0.02;0;0;0;8.31;0.82;0;0;0;0;0;;;;;;;;
US20120035041A1;65.575;20.6;0;0.25;0.37;0;0.28;0.54;0.23;2.4;1.5;3.05;0;0;0.086;0.054;0;0;0;3.75;1.3;0.14;0;0;0;0;;;;;;;;
US20120035041A1;65.558;20.6;0;0.25;0.38;0;0.29;0.55;0.23;2.4;1.5;3.05;0;0;0.086;0.042;0;0;0;3.75;1.3;0.12;0;0;0;0;;;;;;;;
US20050143247A1;71.71639543;14.64038755;0;0.889522928;0;0;0.072583573;0.420690829;0.207595182;0;0;1.713974193;0;0;0;0;0;0;0;8.944378752;1.084492676;0;0.309978892;0;0;0;;;;;;;703;
US20050143247A1;70.97191113;14.33946305;0;1.77345602;0;0;0.115768819;0.387916326;0.241433394;0;0;1.749269501;0;0;0;0;0;0;0;9.068504229;1.054717224;0;0.297560298;0;0;0;;;;;;;694;
US20050143247A1;71.04970022;14.36694824;0;0.748370322;0;0;0.194702416;0.592454972;0;0.868120651;1.1280323;1.55992189;0;0;0;0;0;0;0;8.448727865;1.043021117;0;0;0;0;0;;;;;;;682;
US20050143247A1;71.09736753;14.19924629;0;1.456237444;0.581465939;0;0.096821611;0.736539971;0;0.42531922;0;1.878053877;0;0;0;0;0;0;0;8.29363939;1.005591492;0;0.229717235;0;0;0;;;;;;;704;
US20050143247A1;71.24583433;13.80392335;0;2.082412511;1.151298669;0;0.071889803;0.208334888;0.342684904;0;0;1.535916265;0;0;0;0;0;0;0;8.210675261;1.074126863;0;0.272903153;0;0;0;;;;;;;698;
US20050143247A1;70.44750588;13.49752015;0;1.932754691;0;0;0.144567067;0.628427724;0.206737044;0.931415574;0;1.62560869;0;0;0;0;0;0;0;9.341912877;1.1063514;0;0.137198902;0;0;0;;;;;;;671;
US20050143247A1;69.93711556;15.04408026;0;2.439598793;0.584469356;0;0.048660859;0.211526967;0.347935476;0;0.322197315;1.600487507;0;0;0;0;0;0;0;8.007406613;1.063984868;0;0.392536429;0;0;0;;;;;;;688;
