Patent ID;Al2O3;BaO;Bi2O3;CaO;CeO2;Fe2O3;K2O;La2O3;Li2O;MgO;Na2O;Nb2O5;P2O5;SiO2;SrO;Ta2O5;TiO2;WO3;Y2O3;ZnO;ZrO2
US20240025797A1;0.04;7.98;0;10.45;0;0.01;7.76;0;0;0.18;0.74;14.96;0;49.88;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.97;0;15.13;0;0.01;3.08;0;0;0.25;0.73;14.95;0;49.84;0.01;0;2.99;0;0;0;4.98
US20240025797A1;0.04;7.97;0;17.44;0;0.01;0.77;0;0;0.28;0.72;14.95;0;49.84;0.01;0;2.99;0;0;0;4.98
US20240025797A1;0.05;4.99;0;0.6;0;0.01;1.57;0;0;0.05;16.81;14.98;0;49.93;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;2.37;0;0.01;0.39;0;0;0.08;16.21;14.98;0;49.93;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;2.4;0;0.01;1.58;0;0;0.08;14.98;14.98;0;49.93;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;5;0;0.61;0;0.01;4;0;0;0.05;14.37;14.98;0;49.94;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;4.23;0;0.01;1.6;0;0;0.1;13.14;14.97;0;49.91;0.01;0;3;0;0;0;7.98
US20240025797A1;0.05;4.99;0;6.03;0;0.01;0.4;0;0;0.13;12.54;14.97;0;49.89;0.01;0;2.99;0;0;0;7.98
US20240025797A1;0.05;5;0;0.61;0;0.01;5.25;0;0;0.05;13.13;14.98;0;49.92;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;2.46;0;0.01;5.29;0;0;0.08;11.22;14.98;0;49.93;0.01;0;3;0;0;0;7.98
US20240025797A1;0.04;5;0;0.63;0;0.01;7.81;0;0;0.05;10.54;14.98;0;49.93;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;2.49;0;0.01;6.56;0;0;0.08;9.92;14.98;0;49.92;0.01;0;2.99;0;0;0;7.99
